,Name,City,Cuisines,Average Cost,Aggregate Rating,Original Name
4515,w97qW_4515,Alamosa,"Tea, BBQ, Cafe, Indian, Seafood",10,3.8,The Midnight Heroes
2217,jSBO5_2217,Harlingen,"Italian, BBQ, Cafe, Indian, Seafood",10,0.0,Renu Sweets & Restaurant
8072,aZ729_8072,Watertown,"Pizza, Mexican, Fast Food, Cafe, Mediterranean, Seafood",10,4.3,Mamagoto
698,iw09l_698,Sarasota,"Desserts, Cafe, Mexican, BBQ, Chinese",10,3.5,Bharawan Da Dhaba
7269,UaNQx_7269,Charleston,"Desserts, Cafe, Pizza, Bakery, Chinese",10,3.5,Nagpal's
5830,i9Vtb_5830,Grand Junction,"Chinese, French, Cafe, Seafood",10,3.1,New Punjabi Khana
9165,o2Mm6_9165,Omaha,"Bakery, Pizza",10,4.0,German Bakery Wunderbar
401,PQhMW_401,Baton Rouge,"Cafe, Mexican, Pizza, Desserts",10,3.8,Fifth Street Bagelry
6221,VS4VR_6221,Idaho Falls,"Pizza, American, BBQ, Fast Food",10,2.3,Subway
8569,BhxPe_8569,Pellston,"Tea, Pizza, French, Fast Food, Seafood",10,2.5,Mudrika Food Factory
3986,2qI4E_3986,Gustavus,"Tea, Cafe, BBQ, Fast Food",10,3.7,Imperfecto
3994,hy51v_3994,Lihue,"Desserts, Tea, Pizza, Mexican, Fast Food",10,4.3,Hauz Khas Social
5999,tPf5A_5999,Salt Lake City,"French, American, Desserts, Seafood",10,2.9,Al-Sameer
4448,mqlQl_4448,San Juan,"French, Bakery, Cafe",10,3.8,Gopal's 56
8959,6nAJ3_8959,Lubbock,"Desserts, Tea, Pizza, French, Cafe",10,2.9,Handi
2462,Q2upB_2462,Muskegon,"Tea, Cafe, Italian, Fast Food, Chinese, Seafood",10,3.7,Froth On Top
3382,a2C1Y_3382,Miami,"Tea, Bakery, Indian",10,3.3,South Indian Corner
6241,Xf3yo_6241,Fort Leonard Wood,"Tea, French, Desserts, Seafood",10,3.2,Chatore.e.e
3370,ULrfZ_3370,Muskegon,"Pizza, Bakery, BBQ, Italian",10,3.4,Huddle Cafe
2026,k9haa_2026,Burbank,"Tea, Pizza, Bakery, Fast Food, Indian",10,2.8,KB's Kulfi & Icecream
667,AkTMU_667,Cleveland,"Tea, Bakery, BBQ, Fast Food",10,3.2,Bikanerwala
5261,MvjDa_5261,Prescott,"Tea, Indian, BBQ, Fast Food, Cafe, American",10,3.0,Mr. Baker's
5820,h5nuw_5820,Elmira,"Mexican, BBQ, Desserts, Fast Food",10,0.0,Welcome Family Restaurant
4853,d3FK5_4853,Twin Falls,"Tea, Seafood, Mexican, Italian",10,0.0,New Sethi's
5015,gefGe_5015,Mason City,"Chinese, Pizza, Fast Food",10,2.9,Vijay Dhaba
8706,J7KxS_8706,Cheyenne,"Desserts, French, Bakery, Fast Food, Cafe",10,0.0,Cookie House
1144,FSR0d_1144,Williston,"Chinese, Mexican, BBQ, Seafood",10,3.5,Curlies
2551,TUAfO_2551,Tampa,"Desserts, Tea, French, BBQ, Fast Food",10,3.5,12212
7924,l2um2_7924,Prescott,"Desserts, Tea, Italian, BBQ, Chinese, Seafood",10,3.5,Pure Punjabi
4812,nTk0I_4812,Bellingham,"Mexican, Indian, Desserts, Pizza",10,0.0,Chez Jerome - Q Cafe
9190,rDpO5_9190,Dubuque,"Cafe, Bakery, Desserts, Fast Food",10,3.6,The Urban Brava
750,Crlid_750,Manhattan,"Tea, Cafe, Mexican",10,4.2,Bake N Shake
5351,2kaDH_5351,Syracuse,"Cafe, American, Fast Food",10,3.3,Muradabadi Chicken Biryani
744,KJURR_744,Binghamton,"Bakery, Mexican, Indian, Fast Food",10,3.9,Hoot
1118,WU56p_1118,Indianapolis,"French, Seafood, Cafe, Fast Food",10,3.6,FoodByMom
5110,AjSnQ_5110,Alamosa,"Cafe, Mexican, Pizza",10,0.0,Good Luck Cafe
8261,ScoYQ_8261,Cedar City,"French, Pizza, BBQ",10,0.0,Chaskaa Restaurant
7937,MmXvR_7937,Newburgh,"Tea, Pizza, Mexican, Bakery, BBQ",10,3.3,Nainy Fast Food
2384,rSr8a_2384,Medford,"Tea, BBQ, Seafood",10,3.7,Chiyang
7037,2ERtS_7037,Wenatchee,"Seafood, Bakery, Italian",10,4.1,Eat Golf Repeat
2382,zFFiZ_2382,Bishop,"Fast Food, Pizza, BBQ, Italian",10,4.2,Grand Hotel Restaurant
4297,RoJTe_4297,Wenatchee,"Seafood, BBQ, Desserts, Fast Food",10,3.2,The Zest
5633,Kw3Bz_5633,Philadelphia,"BBQ, Bakery, Desserts, Fast Food",10,3.5,Asian Chopstick
1433,rZumA_1433,San Francisco,"Tea, Mexican, BBQ, Cafe, Seafood",10,3.6,Coffee & Chai Co.
6192,pcPKf_6192,Brunswick,"Chinese, Bakery, Cafe, Seafood",10,3.1,Pizza Hut Delivery
7799,SKRSz_7799,San Francisco,"Desserts, Pizza, Mexican, BBQ, Fast Food",10,0.0,Anupam Eating Point
6027,nLAVB_6027,Brownsville,"Pizza, Desserts, Fast Food",10,3.0,Metropolis Bar
717,qYxSZ_717,Hartford,"Tea, Bakery, American, BBQ",10,3.3,Ashoka's Veg Restaurant
8841,7uniF_8841,Bemidji,"Desserts, Pizza, BBQ, American, Seafood",10,0.0,Right for Night
1961,VlWLQ_1961,Harrisburg,"Tea, Desserts",10,2.8,Burger Hut
5998,RKx49_5998,Ketchikan,"Desserts, American, Bakery, Indian, Seafood",10,0.0,The Belgian Fries Company
4318,jlixI_4318,Nantucket,"Desserts, Mexican, BBQ, Bakery, Cafe",10,4.2,52 Janpath
1784,BaeXl_1784,Lexington,"Desserts, Cafe, Pizza, Mexican, BBQ, Chinese",10,0.0,ANTIDOTE
6742,zm1EH_6742,Lawton,"Desserts, Italian, Bakery, Fast Food, Seafood",10,2.6,Spice Court
4221,Fos4Q_4221,Watertown,"Desserts, French, Fast Food, Indian, Seafood",10,3.7,The Tangy Tomatoes
3346,Gf7yT_3346,Valparaiso,"Desserts, Fast Food, Chinese, American, Seafood",10,3.0,Shillong View
6726,rc7iX_6726,International Falls,"Cafe, Mexican, Bakery, BBQ, Chinese, Seafood",10,3.2,Chalte Firte Momos & Special Foods
7569,mlDck_7569,Pocatello,"Mexican, Bakery, Desserts",10,2.9,Neelma Punjabi Dhaba
4242,Ey7un_4242,Grand Island,"Desserts, BBQ, Bakery, Cafe, Indian",10,2.6,Nikku Hotel
4247,UmKhQ_4247,Adak Island,"Fast Food, Cafe, Mediterranean, Italian",10,2.8,Republic of Chicken
3026,DA6Rd_3026,Grand Junction,"Tea, Bakery, American, BBQ",10,3.9,Cha Bar
3209,00DYy_3209,Madison,"French, Bakery, Pizza, Mediterranean",10,3.0,Moet's Sizzlers
3029,2GKks_3029,St. Cloud,"Desserts, Tea, Pizza, Fast Food, American",10,3.9,China Garden
1199,Zpq0b_1199,Killeen,"BBQ, Desserts, Seafood",10,3.6,Faaso's
625,COArd_625,Birmingham,"Bakery, Mexican, Pizza, Fast Food",10,3.5,Rangrezz Restaurant
1224,ouv7O_1224,Everett,"Pizza, Bakery, Fast Food, Mediterranean, Seafood",10,3.7,Au Bon Pain
4872,l7WSY_4872,Dothan,"Desserts, Pizza, French, BBQ, Fast Food",10,3.1,Tewari Sweets
4891,B2uHh_4891,Corpus Christi,"Bakery, Pizza, Cafe, BBQ",10,2.8,Shanu's Food Shop
9140,DXe2w_9140,Champaign,"Mexican, Bakery, BBQ",10,3.6,The Pasta Bar Veneto
3103,Y37Tp_3103,Redding,"Tea, Cafe, Pizza",10,4.0,Healthy Routes
8775,qTFng_8775,West Yellowstone,"Desserts, Mexican, BBQ, Fast Food, Cafe",10,0.0,Friend's Restaurant
